measure,location,sex,age,cause,metric,year,val,upper,lower
Prevalence,China,Both,All ages,Breast cancer,Rate,2013,187.06923780194,211.98418364012,164.97577528864002
Prevalence,China,Both,All ages,Breast cancer,Number,2014,2656386.370122325,3024504.227956905,2346495.792479793
Prevalence,China,Both,All ages,Breast cancer,Rate,2014,193.60946191991,220.43955756416,171.02323400282998
Prevalence,China,Both,All ages,Breast cancer,Number,2015,2741877.75016978,3089857.866335893,2394248.745577122
Prevalence,China,Both,All ages,Breast cancer,Rate,2015,198.48219126391,223.67217501450997,173.31762418057
Prevalence,China,Both,All ages,Breast cancer,Number,2016,2849214.7221315163,3202921.724000254,2485903.8817921514
Prevalence,China,Both,All ages,Breast cancer,Rate,2016,204.73212347688,230.14796350422003,178.62619357027
Prevalence,China,Both,All ages,Breast cancer,Number,2017,2976259.235190629,3363521.884506936,2588107.5552969608
Prevalence,China,Both,All ages,Breast cancer,Rate,2017,212.32711471124,239.95453371847003,184.63627202936
Prevalence,China,Both,All ages,Breast cancer,Number,2018,3040328.4219991053,3416386.750526853,2646318.579869074
Prevalence,China,Both,All ages,Breast cancer,Rate,2018,215.5251497263,242.18346301091003,187.59427567853
Prevalence,China,Both,All ages,Breast cancer,Number,2019,3068352.96152852,3451974.698513517,2666083.2206007643
Prevalence,China,Both,All ages,Breast cancer,Rate,2019,216.34345922022,243.39186422838,187.98022057619
Prevalence,China,Both,All ages,Breast cancer,Number,2020,3124020.057546832,3479290.1352430102,2707228.131038551
Prevalence,China,Both,All ages,Breast cancer,Rate,2020,219.33951601014,244.28326331627997,190.07627897796002
Prevalence,China,Both,All ages,Breast cancer,Number,2021,3345689.43211452,3777594.9452198185,2896980.0646632663
Prevalence,China,Both,All ages,Breast cancer,Rate,2021,234.25226047954,264.4926174557,202.83536248092003
Prevalence,China,Both,All ages,Breast cancer,Number,2022,3619665.5591791626,4183020.711310722,3113723.2241888656
Prevalence,China,Both,All ages,Breast cancer,Rate,2022,253.09825618253,292.48979782768,217.72119699808002
Prevalence,China,Both,All ages,Breast cancer,Number,2023,3652431.84602024,4196478.70654797,3072308.3326423867
Prevalence,China,Both,All ages,Breast cancer,Rate,2023,255.29964683524,293.32772708701,214.74986128687001
Prevalence,China,Both,All ages,Soft tissue and other extraosseous sarcomas,Number,1990,25298.825655382945,39040.22552043969,16992.034338911515
Prevalence,China,Both,All ages,Soft tissue and other extraosseous sarcomas,Rate,1990,2.14553574132,3.31091254369,1.44105570308
Prevalence,China,Both,All ages,Soft tissue and other extraosseous sarcomas,Number,1991,25779.00009276946,38586.98769160711,17320.46649562033
Prevalence,China,Both,All ages,Soft tissue and other extraosseous sarcomas,Rate,1991,2.15647745204,3.22789745916,1.4489000862
Prevalence,China,Both,All ages,Soft tissue and other extraosseous sarcomas,Number,1992,26299.55312385337,39924.70037093258,17908.94694890603
Prevalence,China,Both,All ages,Soft tissue and other extraosseous sarcomas,Rate,1992,2.17586727172,3.30313022663,1.4816788465400001
Prevalence,China,Both,All ages,Soft tissue and other extraosseous sarcomas,Number,1993,26940.1746641894,39990.817197345605,18275.82222782293
Prevalence,China,Both,All ages,Soft tissue and other extraosseous sarcomas,Rate,1993,2.20916292692,3.2793488487299998,1.49866396294
Prevalence,China,Both,All ages,Soft tissue and other extraosseous sarcomas,Number,1994,27577.360457199466,41008.40410502465,18710.49176907853
Prevalence,China,Both,All ages,Soft tissue and other extraosseous sarcomas,Rate,1994,2.24532184638,3.3388643472700004,1.52339002824
Prevalence,China,Both,All ages,Soft tissue and other extraosseous sarcomas,Number,1995,27996.06023916832,41387.77771576241,19510.881916152182
Prevalence,China,Both,All ages,Soft tissue and other extraosseous sarcomas,Rate,1995,2.26640067979,3.35051742097,1.57948924457
Prevalence,China,Both,All ages,Soft tissue and other extraosseous sarcomas,Number,1996,28283.942055994085,40426.223270891816,19936.14705652593
Prevalence,China,Both,All ages,Soft tissue and other extraosseous sarcomas,Rate,1996,2.27917457971,3.2576230092099996,1.60649316487
Prevalence,China,Both,All ages,Soft tissue and other extraosseous sarcomas,Number,1997,28485.780924636987,41411.38532979724,20042.35154935231
Prevalence,China,Both,All ages,Soft tissue and other extraosseous sarcomas,Rate,1997,2.28676334428,3.32439676688,1.60894710864
Prevalence,China,Both,All ages,Soft tissue and other extraosseous sarcomas,Number,1998,29076.41276770085,42511.72628897538,20319.710376056544
Prevalence,China,Both,All ages,Soft tissue and other extraosseous sarcomas,Rate,1998,2.32642848365,3.40139933071,1.62579728717
Prevalence,China,Both,All ages,Soft tissue and other extraosseous sarcomas,Number,1999,29497.10963227116,43388.6649557784,20424.951593558795
Prevalence,China,Both,All ages,Soft tissue and other extraosseous sarcomas,Rate,1999,2.3524586643100003,3.46034042252,1.62893432419
Prevalence,China,Both,All ages,Soft tissue and other extraosseous sarcomas,Number,2000,29847.94012491074,42376.30944280851,20999.47118390264
Prevalence,China,Both,All ages,Soft tissue and other extraosseous sarcomas,Rate,2000,2.3720219591,3.36765405328,1.6688323069899997
Prevalence,China,Both,All ages,Soft tissue and other extraosseous sarcomas,Number,2001,30164.27573907753,41872.37501623225,21349.145817704084
Prevalence,China,Both,All ages,Soft tissue and other extraosseous sarcomas,Rate,2001,2.3869586856900002,3.31344369413,1.68940005331
Prevalence,China,Both,All ages,Soft tissue and other extraosseous sarcomas,Number,2002,30625.84629626711,42679.803573648445,21469.76194568678
Prevalence,China,Both,All ages,Soft tissue and other extraosseous sarcomas,Rate,2002,2.4116221956,3.36080709758,1.6906293442999998
Prevalence,China,Both,All ages,Soft tissue and other extraosseous sarcomas,Number,2003,31402.609975889805,44193.58726079,22507.046818161536
Prevalence,China,Both,All ages,Soft tissue and other extraosseous sarcomas,Rate,2003,2.4593423541500004,3.4610868655800004,1.76267302461
Prevalence,China,Both,All ages,Soft tissue and other extraosseous sarcomas,Number,2004,32221.064273822903,44653.08021833184,22665.42564712515
Prevalence,China,Both,All ages,Soft tissue and other extraosseous sarcomas,Rate,2004,2.50844933652,3.4762970116500003,1.76453116021
Prevalence,China,Both,All ages,Soft tissue and other extraosseous sarcomas,Number,2005,32625.593719090863,45763.42755179575,22949.103482831222
Prevalence,China,Both,All ages,Soft tissue and other extraosseous sarcomas,Rate,2005,2.52354436333,3.5397375643,1.77508128239
Prevalence,China,Both,All ages,Soft tissue and other extraosseous sarcomas,Number,2006,32686.85384648136,46597.76946653006,23138.79568901096
Prevalence,China,Both,All ages,Soft tissue and other extraosseous sarcomas,Rate,2006,2.51073900765,3.5792627219,1.7773346189600001
Prevalence,China,Both,All ages,Soft tissue and other extraosseous sarcomas,Number,2007,33143.69433350756,47470.16591173411,23545.221611047527
Prevalence,China,Both,All ages,Soft tissue and other extraosseous sarcomas,Rate,2007,2.52730622243,3.61974270223,1.7953938534199998
Prevalence,China,Both,All ages,Soft tissue and other extraosseous sarcomas,Number,2008,33587.39397117878,48144.61889445642,23703.23614853459
Prevalence,China,Both,All ages,Soft tissue and other extraosseous sarcomas,Rate,2008,2.54230754347,3.6441775714299998,1.7941527740099998
Prevalence,China,Both,All ages,Soft tissue and other extraosseous sarcomas,Number,2009,33693.14337241812,48442.25971843399,23813.490668489845
Prevalence,China,Both,All ages,Soft tissue and other extraosseous sarcomas,Rate,2009,2.53215472163,3.6406011548599997,1.78966510094
Prevalence,China,Both,All ages,Soft tissue and other extraosseous sarcomas,Number,2010,33792.63663761184,48630.50692446077,23778.061124825075
Prevalence,China,Both,All ages,Soft tissue and other extraosseous sarcomas,Rate,2010,2.5234339241300003,3.63143818096,1.77560474893
Prevalence,China,Both,All ages,Soft tissue and other extraosseous sarcomas,Number,2011,33458.25706754637,48911.30390444986,23126.42176645817
Prevalence,China,Both,All ages,Soft tissue and other extraosseous sarcomas,Rate,2011,2.48443964202,3.63190414007,1.71725021117
Prevalence,China,Both,All ages,Soft tissue and other extraosseous sarcomas,Number,2012,34523.521204800265,52401.703855374784,23480.00437690739
Prevalence,China,Both,All ages,Soft tissue and other extraosseous sarcomas,Rate,2012,2.54859002951,3.8683904571300003,1.73333724254
